start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_cache_write_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1781308800,1781395200,2026-06-13T00:00:00+00:00,2026-06-14T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1781395200,1781481600,2026-06-14T00:00:00+00:00,2026-06-15T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1781481600,1781568000,2026-06-15T00:00:00+00:00,2026-06-16T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1781568000,1781654400,2026-06-16T00:00:00+00:00,2026-06-17T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1781654400,1781740800,2026-06-17T00:00:00+00:00,2026-06-18T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1781740800,1781827200,2026-06-18T00:00:00+00:00,2026-06-19T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1781827200,1781913600,2026-06-19T00:00:00+00:00,2026-06-20T00:00:00+00:00,proj_GrLHiOn8KWxOzbIDsQKFFS6S,3.0,user-WhRKNbWmS6KwsjZgO4XXUWis,key_DGMzplQsMA35y0I7,gpt-4o-mini-2024-07-18,False,default,197.0,32.0,0.0,0.0,197.0,197.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781913600,1782000000,2026-06-20T00:00:00+00:00,2026-06-21T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1782000000,1782086400,2026-06-21T00:00:00+00:00,2026-06-22T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1782086400,1782172800,2026-06-22T00:00:00+00:00,2026-06-23T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1782172800,1782259200,2026-06-23T00:00:00+00:00,2026-06-24T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1782259200,1782345600,2026-06-24T00:00:00+00:00,2026-06-25T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1782345600,1782432000,2026-06-25T00:00:00+00:00,2026-06-26T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1782432000,1782518400,2026-06-26T00:00:00+00:00,2026-06-27T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1782518400,1782604800,2026-06-27T00:00:00+00:00,2026-06-28T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1782604800,1782691200,2026-06-28T00:00:00+00:00,2026-06-29T00:00:00+00:00,proj_GrLHiOn8KWxOzbIDsQKFFS6S,4.0,user-WhRKNbWmS6KwsjZgO4XXUWis,key_DGMzplQsMA35y0I7,gpt-4o-mini-2024-07-18,False,default,11685.0,2780.0,0.0,0.0,11685.0,11685.0,2780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1782691200,1782777600,2026-06-29T00:00:00+00:00,2026-06-30T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1782777600,1782864000,2026-06-30T00:00:00+00:00,2026-07-01T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1782864000,1782950400,2026-07-01T00:00:00+00:00,2026-07-02T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1782950400,1783036800,2026-07-02T00:00:00+00:00,2026-07-03T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1783036800,1783123200,2026-07-03T00:00:00+00:00,2026-07-04T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1783123200,1783209600,2026-07-04T00:00:00+00:00,2026-07-05T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1783209600,1783296000,2026-07-05T00:00:00+00:00,2026-07-06T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1783296000,1783382400,2026-07-06T00:00:00+00:00,2026-07-07T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1783382400,1783468800,2026-07-07T00:00:00+00:00,2026-07-08T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1783468800,1783555200,2026-07-08T00:00:00+00:00,2026-07-09T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1783555200,1783641600,2026-07-09T00:00:00+00:00,2026-07-10T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1783641600,1783728000,2026-07-10T00:00:00+00:00,2026-07-11T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1783728000,1783814400,2026-07-11T00:00:00+00:00,2026-07-12T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1783814400,1783900800,2026-07-12T00:00:00+00:00,2026-07-13T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,
1783900800,1783987200,2026-07-13T00:00:00+00:00,2026-07-14T00:00:00+00:00,proj_XwFonxwkk9czN5jlVzQ5NKV7,15.0,user-WhRKNbWmS6KwsjZgO4XXUWis,key_uV3BCenBo1XvcCBM,gpt-4o-mini-2024-07-18,False,default,4761.0,1499.0,0.0,0.0,4761.0,4761.0,1499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
